step,p,reward_timestamp,mean_reward,mean_r_pub,mean_r_pri,learning_rate,update_timestamp,update_seconds,kl
1,20,2026-08-15T10:16:54.749+08:00,0.144095,0.248082,0.102248,1e-05,2026-08-15T10:17:02.907+08:00,8.153,0.0
2,20,2026-08-15T10:17:08.863+08:00,0.215189,0.256854,0.069853,1e-05,2026-08-15T10:17:16.958+08:00,8.089,2.4476704597473145
3,20,2026-08-15T10:17:22.850+08:00,0.163194,0.246421,0.104167,1e-05,2026-08-15T10:17:30.959+08:00,8.104,2.994624137878418
4,20,2026-08-15T10:17:36.912+08:00,0.137881,0.216142,0.065241,1e-05,2026-08-15T10:17:45.031+08:00,8.114,4.292144298553467
5,20,2026-08-15T10:17:51.016+08:00,0.125253,0.180357,0.141162,1e-05,2026-08-15T10:17:59.145+08:00,8.124,5.193475723266602
6,20,2026-08-15T10:18:05.092+08:00,0.056323,0.318948,0.226417,1e-05,2026-08-15T10:18:13.208+08:00,8.111,3.9811973571777344
7,20,2026-08-15T10:18:19.274+08:00,0.090866,0.133692,0.139583,1e-05,2026-08-15T10:18:27.406+08:00,8.125,2.236706495285034
8,20,2026-08-15T10:18:33.394+08:00,0.100072,0.228571,0.145833,1e-05,2026-08-15T10:18:41.545+08:00,8.145,3.485053062438965
9,20,2026-08-15T10:18:47.458+08:00,0.171665,0.266071,0.066667,1e-05,2026-08-15T10:18:55.604+08:00,8.141,5.343894004821777
10,20,2026-08-15T10:19:01.514+08:00,0.164411,0.218447,0.111607,1e-05,2026-08-15T10:19:09.660+08:00,8.138,3.8000752925872803
11,20,2026-08-15T10:19:15.577+08:00,0.056063,0.160476,0.069325,1e-05,2026-08-15T10:19:23.740+08:00,8.158,3.646904230117798
12,20,2026-08-15T10:19:29.648+08:00,0.127989,0.220151,0.155357,1e-05,2026-08-15T10:19:37.794+08:00,8.141,5.946404933929443
13,20,2026-08-15T10:19:43.757+08:00,0.153827,0.237058,0.088462,1e-05,2026-08-15T10:19:51.912+08:00,8.15,6.4836931228637695
14,20,2026-08-15T10:19:57.899+08:00,0.162423,0.297276,0.13125,1e-05,2026-08-15T10:20:06.052+08:00,8.148,4.355110168457031
15,20,2026-08-15T10:20:12.033+08:00,0.114183,0.155849,0.125,1e-05,2026-08-15T10:20:20.199+08:00,8.161,11.212495803833008
16,20,2026-08-15T10:20:26.082+08:00,0.034481,0.210989,0.178571,1e-05,2026-08-15T10:20:34.250+08:00,8.163,3.772886276245117
17,20,2026-08-15T10:20:40.250+08:00,0.149914,0.179369,0.017857,1e-05,2026-08-15T10:20:48.418+08:00,8.165,10.358766555786133
18,20,2026-08-15T10:20:54.374+08:00,0.097717,0.16181,0.083333,1e-05,2026-08-15T10:21:02.529+08:00,8.15,4.011803150177002
19,20,2026-08-15T10:21:08.526+08:00,0.141893,0.291703,0.104167,1e-05,2026-08-15T10:21:16.690+08:00,8.159,6.083653450012207
20,20,2026-08-15T10:21:22.605+08:00,0.144844,0.161742,0.017361,1e-05,2026-08-15T10:21:30.764+08:00,8.154,4.932370185852051
21,20,2026-08-15T10:21:36.719+08:00,0.182143,0.182143,0.0,9.9e-06,2026-08-15T10:21:44.888+08:00,8.161,8.462603569030762
22,20,2026-08-15T10:21:50.759+08:00,0.135017,0.255508,0.190789,9.9e-06,2026-08-15T10:21:58.913+08:00,8.15,3.5661542415618896
23,20,2026-08-15T10:22:04.846+08:00,0.103091,0.106196,0.018572,9.9e-06,2026-08-15T10:22:13.022+08:00,8.171,7.302508354187012
24,20,2026-08-15T10:22:18.942+08:00,0.078229,0.205077,0.089706,9.9e-06,2026-08-15T10:22:27.100+08:00,8.152,5.955076217651367
25,20,2026-08-15T10:22:33.025+08:00,0.090404,0.165378,0.05,9.9e-06,2026-08-15T10:22:41.197+08:00,8.167,5.105308532714844
26,20,2026-08-15T10:22:47.223+08:00,0.293868,0.365709,0.104167,9.9e-06,2026-08-15T10:22:55.381+08:00,8.154,9.993484497070312
27,20,2026-08-15T10:23:01.317+08:00,0.064785,0.163049,0.05303,9.9e-06,2026-08-15T10:23:09.477+08:00,8.154,4.419283866882324
28,20,2026-08-15T10:23:15.361+08:00,0.189073,0.241663,0.05625,9.9e-06,2026-08-15T10:23:23.516+08:00,8.149,5.43971061706543
29,20,2026-08-15T10:23:29.334+08:00,0.06655,0.137445,0.057292,9.9e-06,2026-08-15T10:23:37.473+08:00,8.136,6.697296142578125
30,20,2026-08-15T10:23:43.361+08:00,0.047364,0.137678,0.083333,9.9e-06,2026-08-15T10:23:51.515+08:00,8.151,7.100766181945801
31,20,2026-08-15T10:23:57.369+08:00,0.192077,0.329481,0.166667,9.9e-06,2026-08-15T10:24:05.518+08:00,8.144,6.888164520263672
